Region,Site,CodeOriginal,NeedsItsDuplicate,DuplicateNum,Code,Name,Native,Duration,Lifeform,LocationDependence
Sonoran SE,Patagonia,"Possible small SPCR near middle of the east edge (no tiller, culm, or seed heads but fuzziness/hairs at the ligule) and possible POSE next to the subplot (all leaf blades and midvein on bottome) if not than 0% seeded species cover",Yes,1,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Possible small SPCR near middle of the east edge (no tiller, culm, or seed heads but fuzziness/hairs at the ligule) and possible POSE next to the subplot (all leaf blades and midvein on bottome) if not than 0% seeded species cover",Yes,2,POSE,Poa secunda,Native,Perennial,Grass,independent
Sonoran SE,SRER,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,SRER,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits,Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,SRER,Possibly 2 BOCUs (2 certainty) but very little green left to help identify,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Possibly 3 small BOER (1 certainty) or other BOsp.,No,0,BOspp,Bouteloua spp.,Native,Unknown,Grass,dependent
Sonoran SE,SRER,Possibly a BOCU but has been grazed down completely and hard to confirm,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Possibly a BOER if not than other BOsp. possibly BOGR,No,0,BOspp,Bouteloua spp.,Native,Unknown,Grass,dependent
Sonoran SE,Patagonia,Possibly a SPCR,No,0,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Possibly a couple of MATA seedlings and possibly a SPCR seedling in the subplot,Yes,1,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,independent
Sonoran SE,Patagonia,Possibly a couple of MATA seedlings and possibly a SPCR seedling in the subplot,Yes,2,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Possibly a couple of small SPCRs in/near the northeast pit but if not than 0%,No,0,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Possibly a small SPCR in the S half,No,0,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,SRER,Possibly a young ASTU if not seeded species cover is 0%,No,0,ASTU,Asclepias tuberosa,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",Yes,1,POSE,Poa secunda,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",Yes,2,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK",Yes,3,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
Sonoran SE,SRER,Possibly two SPCRs (or possibly POSEs?) near the southwest and northwest (No sead heads yet but membraneous ligule with hair and blades at an almost 90 degrees fro the stems however if neither than the seeded species cover would be 0%,No,0,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,SRER,Potentially 3 or 4 BOCU (1 certainty) and possibly an ARPU (2) or othe ARsp. hard to be certain because all the grasses have been grazed down to nubs,No,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Potentially 3 or 4 BOCU (1 certainty) and possibly an ARPU (2) or othe ARsp. hard to be certain because all the grasses have been grazed down to nubs,No,2,ARPUspp,Aristida spp.,Native,Unknown,Grass,dependent
Sonoran SE,SRER,Probable BOCUs with apparent grazing,No,0,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Quite a few small tp extra large BOCUs throughout along with a possible ASTU,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Quite a few small tp extra large BOCUs throughout along with a possible ASTU,Yes,2,ASTU,Asclepias tuberosa,Native,Perennial,Forb,independent
Sonoran Central,Pleasant,SISYM,No,0,SISYM,Sisymbrium sp.,Unknown,Unknown,Forb,dependent
Sonoran SE,Patagonia,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,Yes,1,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,Yes,2,PEPA8,Penstemon palmeri,Native,Perennial,Forb,independent
Sonoran SE,SRER,Small POSE near SW pit,No,0,POSE,Poa secunda,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads),Yes,4,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,Small to large ARPUs throughout and a couple of small SECOs,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Small to large ARPUs throughout and a couple of small SECOs,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,Small to large ARPUs throughout especially in the south half of the plot,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,Patagonia,Small to medium ARPUs throughout and small/medium BAMU near the NE edge,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Small to medium ARPUs throughout and small/medium BAMU near the NE edge,Yes,2,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,Patagonia,Small to medium/large ARPUs throughout especially in the S half of the plot,No,0,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Small/medium to large ARPUs and small to large BOCU throughout,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Small/medium to large ARPUs and small to large BOCU throughout,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,Some possible ARPUs (2 certainty) or ARsp. (ARTE). Mostly dried still or grazed down.,No,0,ARPUspp,Aristida spp.,Native,Unknown,Grass,dependent
Sonoran SE,SRER,"Some possible BOCUs but no seed heads, tillers, culms to verify ID yet but if all are BOCUs than it's 2% seeded species cover however if none are than there are a few SECOs throught mostly found in/near the pits",Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,"Some possible BOCUs but no seed heads, tillers, culms to verify ID yet but if all are BOCUs than it's 2% seeded species cover however if none are than there are a few SECOs throught mostly found in/near the pits",Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,Yes,1,ARPUspp,Aristida spp.,Native,Unknown,Grass,dependent
Sonoran SE,SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,Yes,2,BOspp,Bouteloua spp.,Native,Unknown,Grass,dependent
Sonoran SE,SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down,No,3,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,Yes,1,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Sonoran SE,Patagonia,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Sonoran SE,Patagonia,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout,Yes,3,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,SRER,"There are a couple possible small BOERs but no seed, tillers, culms, to help ID but if not BOER and a different bouteloa species than 0%",No,0,BOspp,Bouteloua spp.,Native,Unknown,Grass,dependent
Sonoran SE,SRER,There're a couple possible tiny MATA seedlings in some of the pits if not MATA than 0% (too small to ID for sure),No,0,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,independent
Sonoran SE,Patagonia,There're a couple potential MATA seedlings near/under a couple of the larger grass bunches however if not MATA than 0% seeded species cover,No,0,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,independent
Sonoran SE,SRER,There're multiple BOCUs and a couple possible SECO seedlings,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Sonoran SE,SRER,There're multiple BOCUs and a couple possible SECO seedlings,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Sonoran SE,SRER,"There's a possible POSE (boat/canoe leaf blades, greener than other grasses currently around, it's very basal and tufted too with a membraneous ligule however if it's not than 0% seeded species cover",No,0,POSE,Poa secunda,Native,Perennial,Grass,independent
Sonoran SE,SRER,There's a possible SPCR along the north edge and southwest near the center however if neither are SPCRs than seeded species cover would be 0%,No,0,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Sonoran SE,SRER,UNGR,No,0,UNGR,Unknown grass,Unknown,Unknown,Grass,dependent
Sonoran SE,SRER,UNGR-2 possibly a Bouteloua (BOCU?) Maybe PLJA? (never seen),No,0,UNGR-2 ,Unknown grass 2 possibly a Bouteloua (BOCU?) Maybe PLJA? (never seen),Native/Unknown,Unknown,Grass,dependent
Sonoran Central,Preserve,Unk dark,No,0,Unk dark,Unknown dark,Unknown,Unknown,Forb,dependent
Sonoran Central,Pleasant,Unk forb,No,0,Unk forb,Unknown forb,Unknown,Unknown,Forb,dependent
Sonoran Central,Roosevelt,Unk grass 1,No,0,Unk grass 1,Unknown grass,Unknown,Unknown,Grass,dependent
Sonoran Central,Roosevelt,VEPE2,No,0,VEPE2,Veronica peregrina,Native,Annual,Forb,independent
Sonoran SE,Patagonia,none seeded,No,0,0,0,0,0,0,independent
Sonoran Central,Roosevelt,unk forb,No,0,unk forb,Unknown forb,Unknown,Unknown,Forb,dependent
Sonoran Central,SCC,unk grass,No,0,unk grass,Unknown grass,Unknown,Unknown,Grass,dependent
Sonoran Central,Roosevelt,unk grass 1,No,0,unk grass 1,Unknown grass,Unknown,Unknown,Grass,dependent
Sonoran Central,Preserve,CRYPT,No,0,CRYPT,Cryptantha spp.,Native,Unknown,Forb,independent
Sonoran Central,Pleasant,Unk grass,No,0,Unk grass,Unknown grass,Unknown,Unknown,Grass,independent
