Site,CodeOriginal,DuplicateNum,Code,Name,Native,Duration,Lifeform,Region
SRER,UNFO4,NA,UNFO4.SRER,"Unknown forb (SRER); very hairy radiating out/up, fuzzy rosettes, SRER",Unknown,Unknown,Forb,Sonoran SE
UtahPJ,UNFO4,NA,UNFO4.UtahPJ,"Unknown forb 4, UtahPJ",Unknown,Unknown,Forb,Utah
AguaFria,UNFO5,NA,UNFO5.AguaFria,"Unknown forb 5, AguaFria",Unknown,Unknown,Forb,Colorado Plateau
FlyingM,UNFO5,NA,UNFO5.FlyingM,"Unknown forb 5, FlyingM",Unknown,Unknown,Forb,Colorado Plateau
MOWE,UNFO5,NA,UNFO5.MOWE,"Unknown forb 5, MOWE",Unknown,Unknown,Forb,Colorado Plateau
Patagonia,UNFO5,NA,UNFO5.Patagonia,"Unknown forb (Patagonia); Similar to dandelion, yellow closed flowers, Patagonia",Unknown,Unknown,Forb,Sonoran SE
Spiderweb,UNFO5,NA,UNFO5.Spiderweb,"Unknown forb 5, Spiderweb",Unknown,Unknown,Forb,Colorado Plateau
SRER,UNFO5,NA,UNFO5.SRER,"Unknown forb (SRER); Little carrot with tiny white flowers and thin leaves, SRER",Unknown,Unknown,Forb,Sonoran SE
UtahPJ,UNFO5,NA,UNFO5.UtahPJ,"Unknown forb 5, UtahPJ",Unknown,Unknown,Forb,Utah
AguaFria,UNFO6,NA,UNFO6.AguaFria,"Unknown forb 6, AguaFria",Unknown,Unknown,Forb,Colorado Plateau
FlyingM,UNFO6,NA,UNFO6.FlyingM,"Unknown forb 6, FlyingM",Unknown,Unknown,Forb,Colorado Plateau
Patagonia,UNFO6,NA,UNFO6.Patagonia,"Unknown forb; green, young, radiating basal leaves; slightly fuzzy; Patagonia, Patagonia",Unknown,Unknown,Forb,Sonoran SE
Spiderweb,UNFO6,NA,UNFO6.Spiderweb,"Unknown forb 6, Spiderweb",Unknown,Unknown,Forb,Colorado Plateau
SRER,UNFO6,NA,UNFO6.SRER,"Unknown forb (SRER); Very small, long slender leaves, fuzzy, leaf toothed around margins. Possibly Heterotheca grandiflora, SRER",Unknown,Unknown,Forb,Sonoran SE
UtahPJ,UNFO6,NA,UNFO6.UtahPJ,"Unknown forb 6, UtahPJ",Unknown,Unknown,Forb,Utah
AguaFria,UNFO7,NA,UNFO7.AguaFria,"Unknown forb 7, AguaFria",Unknown,Unknown,Forb,Colorado Plateau
BarTBar,UNFO7,NA,UNFO7.BarTBar,"Unknown forb 7, BarTBar",Unknown,Unknown,Forb,Colorado Plateau
FlyingM,UNFO7,NA,UNFO7.FlyingM,"Unknown forb 7, FlyingM",Unknown,Unknown,Forb,Colorado Plateau
Spiderweb,UNFO7,NA,UNFO7.Spiderweb,"Unknown forb 7, Spiderweb",Unknown,Unknown,Forb,Colorado Plateau
UtahPJ,UNFO7,NA,UNFO7.UtahPJ,"Unknown forb 7, UtahPJ",Unknown,Unknown,Forb,Utah
AguaFria,UNFO8,NA,UNFO8.AguaFria,"Unknown forb 8, AguaFria",Unknown,Unknown,Forb,Colorado Plateau
BarTBar,UNFO8,NA,UNFO8.BarTBar,"Unknown forb 8, BarTBar",Unknown,Unknown,Forb,Colorado Plateau
Spiderweb,UNFO8,NA,UNFO8.Spiderweb,"Unknown forb 8, Spiderweb",Unknown,Unknown,Forb,Colorado Plateau
UtahPJ,UNFO8,NA,UNFO8.UtahPJ,"Unknown forb 8, UtahPJ",Unknown,Unknown,Forb,Utah
BarTBar,UNFO9,NA,UNFO9.BarTBar,"Unknown forb 9, BarTBar",Native,Unknown,Forb,Colorado Plateau
Spiderweb,UNFO9,NA,UNFO9.Spiderweb,"Unknown forb 9, Spiderweb",Unknown,Unknown,Forb,Colorado Plateau
UtahPJ,UNFO9,NA,UNFO9.UtahPJ,"Unknown forb 9, UtahPJ",Unknown,Unknown,Forb,Utah
Patagonia,UNFS,NA,UNFS.Patagonia,"Unknown forb seedling, Patagonia",Unknown,Unknown,Forb,Sonoran SE
SRER,UNGR-2 possibly a Bouteloua (BOCU?) Maybe PLJA? (never seen),NA,UNGR-2.SRER,"Unknown grass 2 possibly a Bouteloua (BOCU?) Maybe PLJA? (never seen), SRER",Unknown,Unknown,Grass,Sonoran SE
AguaFria,UNGR,NA,UNGR.AguaFria,"Unknown grass, AguaFria",Native,Unknown,Grass,Colorado Plateau
BabbittPJ,UNGR,NA,UNGR.BabbittPJ,"Unknown grass, BabbittPJ",Unknown,Unknown,Grass,Colorado Plateau
BabbittPJ,UNGR,NA,UNGR.BabbittPJ,"Unknown grass, BabbittPJ",Native,Unknown,Grass,Colorado Plateau
BarTBar,UNGR,NA,UNGR.BarTBar,"Unknown grass, BarTBar",Unknown,Unknown,Grass,Colorado Plateau
BarTBar,UNGR,NA,UNGR.BarTBar,"Unknown grass, BarTBar",Native,Unknown,Grass,Colorado Plateau
FlyingM,UNGR,NA,UNGR.FlyingM,"Unknown grass, FlyingM",Unknown,Unknown,Grass,Colorado Plateau
FlyingM,UNGR,NA,UNGR.FlyingM,"Unknown grass, FlyingM",Native,Unknown,Grass,Colorado Plateau
MOWE,UNGR,NA,UNGR.MOWE,"Unknown grass, MOWE",Unknown,Unknown,Grass,Colorado Plateau
MOWE,UNGR,NA,UNGR.MOWE,"Unknown grass, MOWE",Native,Unknown,Grass,Colorado Plateau
PEFO,UNGR,NA,UNGR.PEFO,"Unknown grass, PEFO",Unknown,Unknown,Grass,Colorado Plateau
PEFO,UNGR,NA,UNGR.PEFO,"Unknown grass, PEFO",Native,Unknown,Grass,Colorado Plateau
Spiderweb,UNGR,NA,UNGR.Spiderweb,"Unknown grass, Spiderweb",Unknown,Unknown,Grass,Colorado Plateau
Spiderweb,UNGR,NA,UNGR.Spiderweb,"Unknown grass, Spiderweb",Native,Unknown,Grass,Colorado Plateau
SRER,UNGR,NA,UNGR.SRER,"Unknown grass, SRER",Unknown,Unknown,Grass,Sonoran SE
TLE,UNGR,NA,UNGR.TLE,"Unknown grass, TLE",Unknown,Unknown,Grass,Colorado Plateau
TLE,UNGR,NA,UNGR.TLE,"Unknown grass, TLE",Native,Unknown,Grass,Colorado Plateau
UtahPJ,UNGR,NA,UNGR.UtahPJ,"Unknown grass, UtahPJ",Unknown,Unknown,Grass,Utah
Patagonia,UNGR_P_1,NA,UNGR_P_1.Patagonia,"Unknown grass; Possibly small ARIsp. (Spring 2021), Patagonia",Unknown,Unknown,Grass,Sonoran SE
SRER,UNGR_S_1,NA,UNGR_S_1.SRER,"Unknown grass; Grass seedling short erose ligule slight chance ARPU because of 45 degree leaf or possibly a Vulpia sp. like VUOC (Spring 2021), SRER",Unknown,Unknown,Grass,Sonoran SE
SRER,UNGR_S_2,NA,UNGR_S_2.SRER,"Unknown grass; Possibly a BOCU or another Bouteloua (Spring 2021), SRER",Native,Unknown,Grass,Sonoran SE
AguaFria,UNGR1,NA,UNGR1.AguaFria,"Unknown grass 1, AguaFria",Native,Unknown,Grass,Colorado Plateau
BabbittPJ,UNGR1,NA,UNGR1.BabbittPJ,"Unknown grass 1, BabbittPJ",Native,Unknown,Grass,Colorado Plateau
FlyingM,UNGR1,NA,UNGR1.FlyingM,"Unknown grass 1, FlyingM",Unknown,Unknown,Grass,Colorado Plateau
MOWE,UNGR1,NA,UNGR1.MOWE,"Unknown grass 1, MOWE",Unknown,Unknown,Grass,Colorado Plateau
Patagonia,UNGR1,NA,UNGR1.Patagonia,"Unknown grass 1, Patagonia",Unknown,Unknown,Grass,Sonoran SE
PEFO,UNGR1,NA,UNGR1.PEFO,"Unknown grass 1, PEFO",Unknown,Unknown,Grass,Colorado Plateau
PEFO,UNGR1,NA,UNGR1.PEFO,"Unknown grass 1, PEFO",Native,Unknown,Grass,Colorado Plateau
Salt_Desert,UNGR1,NA,UNGR1.Salt_Desert,"Unknown grass 1, Salt_Desert",Unknown,Unknown,Grass,Utah
SRER,UNGR1,NA,UNGR1.SRER,"Unknown grass (SantaRita); Possibly BOER or Aristida spp (so likely unseeded), SRER",Unknown,Unknown,Grass,Sonoran SE
UtahPJ,UNGR1,NA,UNGR1.UtahPJ,"Unknown grass 1, UtahPJ",Unknown,Unknown,Grass,Utah
AguaFria,UNGR2,NA,UNGR2.AguaFria,"Unknown grass 2, AguaFria",Native,Unknown,Grass,Colorado Plateau
MOWE,UNGR2,NA,UNGR2.MOWE,"Unknown grass 2, MOWE",Unknown,Unknown,Grass,Colorado Plateau
MOWE,UNGR2,NA,UNGR2.MOWE,"Unknown grass 2, MOWE",Native,Unknown,Grass,Colorado Plateau
PEFO,UNGR2,NA,UNGR2.PEFO,"Unknown grass 2, PEFO",Unknown,Unknown,Grass,Colorado Plateau
PEFO,UNGR2,NA,UNGR2.PEFO,"Unknown grass 2, PEFO",Native,Unknown,Grass,Colorado Plateau
UtahPJ,UNGR2,NA,UNGR2.UtahPJ,"Unknown grass 2, UtahPJ",Unknown,Unknown,Grass,Utah
AguaFria,UNGR3,NA,UNGR3.AguaFria,"Unknown grass 3, AguaFria",Native,Unknown,Grass,Colorado Plateau
MOWE,UNGR3,NA,UNGR3.MOWE,"Unknown grass 3, MOWE",Unknown,Unknown,Grass,Colorado Plateau
PEFO,UNGR3,NA,UNGR3.PEFO,"Unknown grass 3, PEFO",Native,Unknown,Grass,Colorado Plateau
UtahPJ,UNGR3,NA,UNGR3.UtahPJ,"Unknown grass 3, UtahPJ",Unknown,Unknown,Grass,Utah
AguaFria,UNGR4,NA,UNGR4.AguaFria,"Unknown grass 4, AguaFria",Unknown,Unknown,Grass,Colorado Plateau
MOWE,UNGR4,NA,UNGR4.MOWE,"Unknown grass 4, MOWE",Unknown,Unknown,Grass,Colorado Plateau
Salt_Desert,UNGR4,NA,UNGR4.Salt_Desert,"Unknown grass 4, Salt_Desert",Unknown,Unknown,Grass,Utah
UtahPJ,UNGR4,NA,UNGR4.UtahPJ,"Unknown grass 4, UtahPJ",Unknown,Unknown,Grass,Utah
AguaFria,UNGR5,NA,UNGR5.AguaFria,"Unknown grass 5, AguaFria",Unknown,Unknown,Grass,Colorado Plateau
Spiderweb,UNGR5,NA,UNGR5.Spiderweb,"Unknown grass 5, Spiderweb",Unknown,Unknown,Grass,Colorado Plateau
Patagonia,UNGRS1,NA,UNGRS1.Patagonia,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, Patagonia",Unknown,Unknown,Grass,Sonoran SE
SRER,UNGRS1,NA,UNGRS1.SRER,"Unknown grass (Patagonia);Unk. grass seedling, bunchy, possible lovegrass?, SRER",Unknown,Unknown,Grass,Sonoran SE
Patagonia,UNGRS2,NA,UNGRS2.Patagonia,"Unknown grass (Patagonia); Unk grass seedling, leaf divided early like BOGR, possible lovegrass?, Patagonia",Unknown,Unknown,Grass,Sonoran SE
Patagonia,UNGRS3,NA,UNGRS3.Patagonia,"Unknown grass (Patagonia); Lighter green, thin leaves, possible threeawn?, Patagonia",Unknown,Unknown,Grass,Sonoran SE
SCC,UNK brown,NA,UNK brown.SCC,"Unknown brown, SCC",Unknown,Unknown,Unknown,Sonoran Central
Preserve,Unk dark,NA,Unk dark.Preserve,"Unknown dark, Preserve",Unknown,Unknown,Forb,Sonoran Central
SCC,Unk dark,NA,Unk dark.SCC,"Unknown with dark hairy leaf and dark margin; resembles BAMU, SCC",Unknown,Unknown,Forb,Sonoran Central
Pleasant,Unk forb,NA,Unk forb.Pleasant,"Unknown forb, Pleasant",Unknown,Unknown,Forb,Sonoran Central
Roosevelt,unk forb,NA,unk forb.Roosevelt,"Unknown forb, Roosevelt",Unknown,Unknown,Forb,Sonoran Central
Mesquite,UNK Fuzzy astr,NA,UNK Fuzzy astr.Mesquite,"Unknown fuzzy aster, Mesquite",Unknown,Unknown,Forb,Chihuahuan
Roosevelt,unk grass 1,NA,unk grass 1.Roosevelt,"Unknown grass, Roosevelt",Unknown,Unknown,Grass,Sonoran Central
Roosevelt,Unk grass 1,NA,Unk grass 1.Roosevelt,"Unknown grass, Roosevelt",Unknown,Unknown,Grass,Sonoran Central
Roosevelt,unk grass 2,NA,unk grass 2.Roosevelt,"Unknown grass 2, Roosevelt",Unknown,Unknown,Grass,Sonoran Central
Mesquite,Unk Grass,NA,Unk Grass.Mesquite,"Unknown grass, Mesquite",Unknown,Unknown,Grass,Chihuahuan
Pleasant,Unk grass,NA,Unk grass.Pleasant,"Unknown grass, Pleasant",Unknown,Unknown,Grass,Sonoran Central
SCC,unk grass,NA,unk grass.SCC,"Unknown grass, SCC",Unknown,Unknown,Grass,Sonoran Central
SCC,Unk grass,NA,Unk grass.SCC,"Unknown grass, SCC",Unknown,Unknown,Grass,Sonoran Central
SCC,Unk grass,NA,Unk grass.SCC,"Unknown likely associated with warm seed mix, SCC",Unknown,Unknown,Grass,Sonoran Central
Preserve,Unk heart,NA,Unk heart.Preserve,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve",Unknown,Unknown,Forb,Sonoran Central
Preserve,UNK heart,NA,UNK heart.Preserve,"UNKnown  heart, Preserve",Unknown,Unknown,Forb,Sonoran Central
Preserve,UNK heart,NA,UNK heart.Preserve,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve",Unknown,Unknown,Forb,Sonoran Central
Pleasant,Unk sp.,NA,Unk sp..Pleasant,"Unknown species, Pleasant",Unknown,Unknown,Unknown,Sonoran Central
Pleasant,Unk sp.,NA,Unk sp..Pleasant,"Unknown spp., Pleasant",Unknown,Unknown,Unknown,Sonoran Central
SCC,Unk sp.,NA,Unk sp..SCC,"Unknown species, SCC",Unknown,Unknown,Unknown,Sonoran Central
Spiderweb,UNK_AMARANTH,NA,UNK_AMARANTH.Spiderweb,"Unknown Amaranth, Spiderweb",Unknown,Unknown,Forb,Colorado Plateau
BabbittPJ,UnkAster,NA,UnkAster.BabbittPJ,"Unknown aster, BabbittPJ",Unknown,Unknown,Forb,Colorado Plateau
Mesquite,Unkaster,NA,Unkaster.Mesquite,"Unknown aster, Mesquite",Unknown,Unknown,Forb,Chihuahuan
PEFO,Unkaster,NA,Unkaster.PEFO,"Unknown aster, PEFO",Unknown,Unknown,Forb,Colorado Plateau
Creosote,Unkastr2,NA,Unkastr2.Creosote,"Unknown aster 2, Creosote",Unknown,Unknown,Forb,Chihuahuan
Mesquite,UnkATCA,NA,UnkATCA.Mesquite,"Unknown shrub; Possible Atriplex canescens, Mesquite",Native,Unknown,Shrub,Chihuahuan
Creosote,Unkcrypt,NA,Unkcrypt.Creosote,"Cryptantha spp., Creosote",Native,Unknown,Forb,Chihuahuan
Creosote,Unkfabaceae,NA,Unkfabaceae.Creosote,"Unknown fabaceae, Creosote",Unknown,Unknown,Forb,Chihuahuan
Creosote,Unkforb,NA,Unkforb.Creosote,"Unknown forb, Creosote",Unknown,Unknown,Forb,Chihuahuan
Mesquite,Unkforb,NA,Unkforb.Mesquite,"Unknown forb, Mesquite",Native,Unknown,Forb,Chihuahuan
Mesquite,UnkForb,NA,UnkForb.Mesquite,"Unknown forb, Mesquite",Native,Unknown,Forb,Chihuahuan
Creosote,Unkforb1,NA,Unkforb1.Creosote,"Unknown forb, Creosote",Unknown,Unknown,Forb,Chihuahuan
Creosote,Unkforb1,NA,Unkforb1.Creosote,"Unknown forb1, Creosote",Unknown,Unknown,Forb,Chihuahuan
Creosote,UnkForb1,NA,UnkForb1.Creosote,"Unknown forb 1, Creosote",Unknown,Unknown,Forb,Chihuahuan
Mesquite,Unkforb1,NA,Unkforb1.Mesquite,"Unknown forb1, Mesquite",Unknown,Unknown,Forb,Chihuahuan
Creosote,Unkforb3,NA,Unkforb3.Creosote,"Unknown forb3, Creosote",Unknown,Unknown,Forb,Chihuahuan
Mesquite,Unkforbgreen,NA,Unkforbgreen.Mesquite,"Unknown forbgreen, Mesquite",Unknown,Unknown,Forb,Chihuahuan
Mesquite,Unkforbwavy,NA,Unkforbwavy.Mesquite,"Unknown forbwavy, Mesquite",Unknown,Unknown,Forb,Chihuahuan
Mesquite,Unkfuzzyaster,NA,Unkfuzzyaster.Mesquite,"Unknown fuzzyaster, Mesquite",Unknown,Unknown,Forb,Chihuahuan
CRC,"Lots of unknown grasses, potentially S-PASM",NA,UNKGR.CRC,"Lots of unknown grasses, potentially S-PASM, CRC",Unknown,Unknown,Grass,Utah
Creosote,Unkgrass,NA,Unkgrass.Creosote,"Unknown grass, Creosote",Unknown,Unknown,Grass,Chihuahuan
Mesquite,Unkgrass,NA,Unkgrass.Mesquite,"Unknown grass, Mesquite",Unknown,Unknown,Grass,Chihuahuan
Mesquite,Unkgrass,NA,Unkgrass.Mesquite,"Unknown grass, Mesquite",Native,Unknown,Grass,Chihuahuan
Creosote,Unkgrass1,NA,Unkgrass1.Creosote,"Unknown grass1, Creosote",Unknown,Unknown,Grass,Chihuahuan
Creosote,Unkgrass2,NA,Unkgrass2.Creosote,"Unknown grass, Creosote",Unknown,Unknown,Grass,Chihuahuan
Mesquite,Unkhairygrass,NA,Unkhairygrass.Mesquite,"Unknown hairy grass, Mesquite",Unknown,Unknown,Grass,Chihuahuan
Creosote,Unksalsola,NA,Unksalsola.Creosote,"Unknown forb; A very small (tiny really) forb germinant that has linear leaves like a small Salsola would. Unlikely to be salsola but best way to distinguish it from other unks., Creosote",Unknown,Unknown,Forb,Chihuahuan
Creosote,Unksalsola,NA,Unksalsola.Creosote,"Unknown Salsola, Creosote",Unknown,Unknown,Forb,Chihuahuan
Creosote,Unksporo,NA,Unksporo.Creosote,"Unknown grass; Sporobolus and Eragrostis, Creosote",Unknown,Unknown,Grass,Chihuahuan
Creosote,Unksporo,NA,Unksporo.Creosote,"Unknown Sporobolus, Creosote",Unknown,Unknown,Grass,Chihuahuan
Mesquite,Unksporo,NA,Unksporo.Mesquite,"Unknown grass; Sporobolus and Eragrostis, Mesquite",Unknown,Unknown,Grass,Chihuahuan
Mesquite,Unksporo,NA,Unksporo.Mesquite,"Unknown Sporobolus, Mesquite",Unknown,Unknown,Grass,Chihuahuan
Mesquite,Unksporob,NA,Unksporob.Mesquite,"Sporobolus spp., Mesquite",Native,Unknown,Grass,Chihuahuan
SRER,UNSFF,NA,UNSFF.SRER,"Unknown shrubby fuzzy forb, munched down, SRER",Unknown,Unknown,Grass,Sonoran SE
BarTBar,UNSH,NA,UNSH.BarTBar,"Unknown shrub, BarTBar",Unknown,Perennial,Shrub,Colorado Plateau
BarTBar,UNSH,NA,UNSH.BarTBar,"Unknown shrub, BarTBar",Unknown,Unknown,Shrub,Colorado Plateau
