Region,Site,Code,CodeOriginal,Name,Native,Duration,Lifeform
Utah,UtahPJ,S-UNGR4.UtahPJ,S-UNGR4,"Seeded unknown grass 4, UtahPJ",Native,Unknown,Grass
Utah,UtahPJ,S-UNGR5.UtahPJ,S-UNGR5,"Seeded unknown grass 5, UtahPJ",Native,Unknown,Grass
Colorado Plateau,TLE,SUNGR.TLE,SUNGR,"Seeded unknown grass, TLE",Native,Unknown,Grass
Colorado Plateau,BabbittPJ,SUNGR.BabbittPJ,SUNGR,"Seeded unknown grass, BabbittPJ",Native,Unknown,Grass
Colorado Plateau,PEFO,UCHEN1.PEFO,UCHEN1,"Unknown chenopod 1, PEFO",Unknown,Unknown,Forb
Colorado Plateau,PEFO,UCHEN2.PEFO,UCHEN2,"Unknown chenopod 2, PEFO",Unknown,Unknown,Forb
Colorado Plateau,FlyingM,UNFO.FlyingM,UNFO,"Unknown forb, FlyingM",Unknown,Unknown,Forb
Colorado Plateau,Spiderweb,UNFO.Spiderweb,UNFO,"Unknown forb, Spiderweb",Unknown,Unknown,Forb
Sonoran SE,SRER,UNFO-5.SRER,UNFO-5,"Unknown forb 5, SRER",Unknown,Unknown,Forb
Utah,UtahPJ,UNFO10.UtahPJ,UNFO10,"Unknown forb 10, UtahPJ",Unknown,Unknown,Forb
Utah,UtahPJ,UNFO11.UtahPJ,UNFO11,"Unknown forb 11, UtahPJ",Unknown,Unknown,Forb
Colorado Plateau,BarTBar,UNFO12.BarTBar,UNFO12,"Unknown forb 12, BarTBar",Unknown,Unknown,Forb
Colorado Plateau,BarTBar,UNFO13.BarTBar,UNFO13,"Unknown forb 13, BarTBar",Unknown,Unknown,Forb
Colorado Plateau,BarTBar,UNFO14.BarTBar,UNFO14,"Unknown forb 14, BarTBar",Unknown,Unknown,Forb
Colorado Plateau,BarTBar,UNFO16.BarTBar,UNFO16,"Unknown forb 16, BarTBar",Unknown,Unknown,Forb
Mojave,AVRCD,UNFO2A.AVRCD,UNFO2A,"Unknown forb 2A, AVRCD",Unknown,Unknown,Forb
Colorado Plateau,AguaFria,UNFO7.AguaFria,UNFO7,"Unknown forb 7, AguaFria",Unknown,Unknown,Forb
Colorado Plateau,BarTBar,UNFO7.BarTBar,UNFO7,"Unknown forb 7, BarTBar",Unknown,Unknown,Forb
Colorado Plateau,FlyingM,UNFO7.FlyingM,UNFO7,"Unknown forb 7, FlyingM",Unknown,Unknown,Forb
Colorado Plateau,Spiderweb,UNFO7.Spiderweb,UNFO7,"Unknown forb 7, Spiderweb",Unknown,Unknown,Forb
Utah,UtahPJ,UNFO7.UtahPJ,UNFO7,"Unknown forb 7, UtahPJ",Unknown,Unknown,Forb
Colorado Plateau,AguaFria,UNFO8.AguaFria,UNFO8,"Unknown forb 8, AguaFria",Unknown,Unknown,Forb
Colorado Plateau,BarTBar,UNFO8.BarTBar,UNFO8,"Unknown forb 8, BarTBar",Unknown,Unknown,Forb
Colorado Plateau,Spiderweb,UNFO8.Spiderweb,UNFO8,"Unknown forb 8, Spiderweb",Unknown,Unknown,Forb
Utah,UtahPJ,UNFO8.UtahPJ,UNFO8,"Unknown forb 8, UtahPJ",Unknown,Unknown,Forb
Colorado Plateau,BarTBar,UNFO9.BarTBar,UNFO9,"Unknown forb 9, BarTBar",Unknown,Unknown,Forb
Utah,UtahPJ,UNFO9.UtahPJ,UNFO9,"Unknown forb 9, UtahPJ",Unknown,Unknown,Forb
Colorado Plateau,AguaFria,UNGR.AguaFria,UNGR,"Unknown grass, AguaFria",Unknown,Unknown,Grass
Colorado Plateau,BabbittPJ,UNGR.BabbittPJ,UNGR,"Unknown grass, BabbittPJ",Unknown,Unknown,Grass
Colorado Plateau,BarTBar,UNGR.BarTBar,UNGR,"Unknown grass, BarTBar",Unknown,Unknown,Grass
Colorado Plateau,FlyingM,UNGR.FlyingM,UNGR,"Unknown grass, FlyingM",Unknown,Unknown,Grass
Colorado Plateau,MOWE,UNGR.MOWE,UNGR,"Unknown grass, MOWE",Unknown,Unknown,Grass
Colorado Plateau,PEFO,UNGR.PEFO,UNGR,"Unknown grass, PEFO",Unknown,Unknown,Grass
Colorado Plateau,Spiderweb,UNGR.Spiderweb,UNGR,"Unknown grass, Spiderweb",Unknown,Unknown,Grass
Colorado Plateau,TLE,UNGR.TLE,UNGR,"Unknown grass, TLE",Unknown,Unknown,Grass
Utah,UtahPJ,UNGR.UtahPJ,UNGR,"Unknown grass, UtahPJ",Unknown,Unknown,Grass
Colorado Plateau,AguaFria,UNGR2.AguaFria,UNGR2,"Unknown grass 2, AguaFria",Unknown,Unknown,Grass
Colorado Plateau,MOWE,UNGR2.MOWE,UNGR2,"Unknown grass 2, MOWE",Unknown,Unknown,Grass
Colorado Plateau,PEFO,UNGR2.PEFO,UNGR2,"Unknown grass 2, PEFO",Unknown,Unknown,Grass
Utah,UtahPJ,UNGR2.UtahPJ,UNGR2,"Unknown grass 2, UtahPJ",Unknown,Unknown,Grass
Colorado Plateau,AguaFria,UNGR3.AguaFria,UNGR3,"Unknown grass 3, AguaFria",Unknown,Unknown,Grass
Colorado Plateau,MOWE,UNGR3.MOWE,UNGR3,"Unknown grass 3, MOWE",Unknown,Unknown,Grass
Colorado Plateau,PEFO,UNGR3.PEFO,UNGR3,"Unknown grass 3, PEFO",Unknown,Unknown,Grass
Utah,UtahPJ,UNGR3.UtahPJ,UNGR3,"Unknown grass 3, UtahPJ",Unknown,Unknown,Grass
Colorado Plateau,AguaFria,UNGR4.AguaFria,UNGR4,"Unknown grass 4, AguaFria",Unknown,Unknown,Grass
Colorado Plateau,MOWE,UNGR4.MOWE,UNGR4,"Unknown grass 4, MOWE",Unknown,Unknown,Grass
Utah,Salt_Desert,UNGR4.Salt_Desert,UNGR4,"Unknown grass 4, Salt_Desert",Unknown,Unknown,Grass
Utah,UtahPJ,UNGR4.UtahPJ,UNGR4,"Unknown grass 4, UtahPJ",Unknown,Unknown,Grass
Colorado Plateau,AguaFria,UNGR5.AguaFria,UNGR5,"Unknown grass 5, AguaFria",Unknown,Unknown,Grass
Chihuahuan,Mesquite,UNK Fuzzy astr.Mesquite,UNK Fuzzy astr,"Unknown fuzzy aster, Mesquite",Unknown,Unknown,Forb
Sonoran Central,SCC,UNK brown.SCC,UNK brown,"Unknown brown, SCC",Unknown,Unknown,Unknown
Sonoran Central,Preserve,UNK heart.Preserve,UNK heart,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve",Unknown,Unknown,Forb
Colorado Plateau,PEFO,UNKM.PEFO,UNKM,"Unknown M, PEFO",Unknown,Unknown,Unknown
Chihuahuan,Mesquite,UnkForb.Mesquite,UnkForb,"Unknown forb, Mesquite",Unknown,Unknown,Forb
Chihuahuan,Creosote,UnkForb1.Creosote,UnkForb1,"Unknown forb 1, Creosote",Unknown,Unknown,Forb
Chihuahuan,Mesquite,Unkaster.Mesquite,Unkaster,"Unknown aster, Mesquite",Unknown,Unknown,Forb
Sonoran Central,Roosevelt,unk grass 2.Roosevelt,unk grass 2,"Unknown grass 2, Roosevelt",Unknown,Unknown,Grass
Utah,Salt_Desert,UNFO.12576.assigned.Salt_Desert,UNFO.12576.assigned,"Unknown forb with assigned code, and manually entered, Salt_Desert",Unknown,Unknown,Forb
