Site,CodeOriginal,NeedsItsDuplicate,DuplicateNum,Code,Name,Native,Duration,Lifeform,LocationDependence
Spiderweb,Sporobolus,No,,SPOspp,Sporobolus spp.,Unknown,Unknown,Grass,dependent
Spiderweb,SUNFO,No,,SUNFO,Seeded unknown forb,Native,Unknown,Forb,dependent
PEFO,SUNGR,No,,SUNGR,Seeded unknown grass,Native,Unknown,Grass,dependent
Spiderweb,SUNGR,No,,SUNGR,Seeded unknown grass,Native,Unknown,Grass,dependent
TLE,SUNGR,No,,SUNGR,Seeded unknown grass,Native,Unknown,Grass,dependent
BabbittPJ,SUNGR,No,,SUNGR,Seeded unknown grass,Native,Unknown,Grass,dependent
MOWE,SUNGR,No,,SUNGR,Seeded unknown grass,Native,Unknown,Grass,dependent
PEFO,SUNGR1,No,,SUNGR1,Seeded unknown grass 1,Native,Unknown,Grass,dependent
Patagonia,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,Yes,1,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,independent
Patagonia,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod,Yes,2,PEPAspp,Unknown PEPA,Unknown,Unknown,Unknown,dependent
BabbittPJ,UNAM,No,,UNAM,Unknown UNAM,Unknown,Unknown,Unknown,dependent
SRER,UNDPF,No,,UNDPF,Unknown DPF,Unknown,Unknown,Unknown,dependent
Spiderweb,UNFO,No,,UNFO,Unknown forb,Unknown,Unknown,Forb,dependent
FlyingM,UNFO1,No,,UNFO1,Unknown forb 1,Unknown,Unknown,Forb,dependent
MOWE,UNFO1,No,,UNFO1,Unknown forb 1,Unknown,Unknown,Forb,dependent
PEFO,UNFO1,No,,UNFO1,Unknown forb 1,Unknown,Unknown,Forb,dependent
TLE,UNFO1,No,,UNFO1,Unknown forb 1,Unknown,Unknown,Forb,dependent
BarTBar,UNFO12,No,,UNFO12,Unknown forb 12,Unknown,Unknown,Forb,dependent
BarTBar,UNFO13,No,,UNFO13,Unknown forb 13,Unknown,Unknown,Forb,dependent
FlyingM,UNFO13,No,,UNFO13,Unknown forb 13,Unknown,Unknown,Forb,dependent
BarTBar,UNFO15,No,,UNFO15,Unknown forb 15,Unknown,Unknown,Forb,dependent
BarTBar,UNFO18,No,,UNFO18,Unknown forb 18,Unknown,Unknown,Forb,dependent
AguaFria,UNFO2,No,,UNFO2,Unknown forb 2,Unknown,Unknown,Forb,dependent
FlyingM,UNFO2,No,,UNFO2,Unknown forb 2,Unknown,Unknown,Forb,dependent
PEFO,UNFO2,No,,UNFO2,Unknown forb 2,Unknown,Unknown,Forb,dependent
29_Palms,UNFO2,No,,UNFO2,Unknown forb 2,Unknown,Unknown,Forb,dependent
FlyingM,UNFO3,No,,UNFO3,Unknown forb 3,Unknown,Unknown,Forb,dependent
BarTBar,UNFO4,No,,UNFO4,Unknown forb 4,Unknown,Unknown,Forb,dependent
FlyingM,UNFO4,No,,UNFO4,Unknown forb 4,Unknown,Unknown,Forb,dependent
FlyingM,UNFO5,No,,UNFO5,Unknown forb 5,Unknown,Unknown,Forb,dependent
MOWE,UNFO5,No,,UNFO5,Unknown forb 5,Unknown,Unknown,Forb,dependent
FlyingM,UNFO6,No,,UNFO6,Unknown forb 6,Unknown,Unknown,Forb,dependent
Spiderweb,UNFO6,No,,UNFO6,Unknown forb 6,Unknown,Unknown,Forb,dependent
FlyingM,UNFO7,No,,UNFO7,Unknown forb 7,Unknown,Unknown,Forb,dependent
Spiderweb,UNFO7,No,,UNFO7,Unknown forb 7,Unknown,Unknown,Forb,dependent
AguaFria,UNFO8,No,,UNFO8,Unknown forb 8,Unknown,Unknown,Forb,dependent
BarTBar,UNFO8,No,,UNFO8,Unknown forb 8,Unknown,Unknown,Forb,dependent
Spiderweb,UNFO8,No,,UNFO8,Unknown forb 8,Unknown,Unknown,Forb,dependent
Spiderweb,UNFO9,No,,UNFO9,Unknown forb 9,Unknown,Unknown,Forb,dependent
BabbittPJ,UNGR,No,,UNGR,Unknown grass,Unknown,Unknown,Grass,dependent
BarTBar,UNGR,No,,UNGR,Unknown grass,Unknown,Unknown,Grass,dependent
FlyingM,UNGR,No,,UNGR,Unknown grass,Unknown,Unknown,Grass,dependent
MOWE,UNGR,No,,UNGR,Unknown grass,Unknown,Unknown,Grass,dependent
PEFO,UNGR,No,,UNGR,Unknown grass,Unknown,Unknown,Grass,dependent
Spiderweb,UNGR,No,,UNGR,Unknown grass,Unknown,Unknown,Grass,dependent
TLE,UNGR,No,,UNGR,Unknown grass,Unknown,Unknown,Grass,dependent
SRER,UNGR,No,,UNGR,Unknown grass,Unknown,Unknown,Grass,dependent
SRER,UNGR-2 possibly a Bouteloua (BOCU?) Maybe PLJA? (never seen),No,,UNGR-2 ,Unknown grass 2 possibly a Bouteloua (BOCU?) Maybe PLJA? (never seen),Unknown,Unknown,Grass,dependent
PEFO,UNGR1,No,,UNGR1,Unknown grass 1,Unknown,Unknown,Grass,dependent
MOWE,UNGR2,No,,UNGR2,Unknown grass 2,Unknown,Unknown,Grass,dependent
PEFO,UNGR2,No,,UNGR2,Unknown grass 2,Unknown,Unknown,Grass,dependent
UtahPJ,UNGR2,No,,UNGR2,Unknown grass 2,Unknown,Unknown,Grass,dependent
MOWE,UNGR4,No,,UNGR4,Unknown grass 4,Unknown,Unknown,Grass,dependent
AguaFria,UNGR5,No,,UNGR5,Unknown grass 5,Unknown,Unknown,Grass,dependent
Spiderweb,UNGR5,No,,UNGR5,Unknown grass 5,Unknown,Unknown,Grass,dependent
Preserve,Unk dark,No,,Unk dark,Unknown dark,Unknown,Unknown,Forb,dependent
Roosevelt,unk forb,No,,unk forb,Unknown forb,Unknown,Unknown,Forb,dependent
Pleasant,Unk forb,No,,Unk forb,Unknown forb,Unknown,Unknown,Forb,dependent
SCC,unk grass,No,,unk grass,Unknown grass,Unknown,Unknown,Grass,dependent
Pleasant,Unk grass,No,,Unk grass,Unknown grass,Unknown,Unknown,Grass,dependent
SCC,Unk grass,No,,Unk grass,Unknown grass,Unknown,Unknown,Grass,dependent
Mesquite,Unk Grass,No,,Unk Grass,Unknown grass,Unknown,Unknown,Grass,dependent
Roosevelt,unk grass 1,No,,unk grass 1,Unknown grass,Unknown,Unknown,Grass,dependent
Roosevelt,Unk grass 1,No,,Unk grass 1,Unknown grass,Unknown,Unknown,Grass,dependent
Preserve,UNK heart,No,,UNK heart,UNKnown  heart,Unknown,Unknown,Forb,dependent
Pleasant,Unk sp.,No,,Unk sp.,Unknown spp.,Unknown,Unknown,Unknown,dependent
Spiderweb,UNK_AMARANTH,No,,UNK_AMARANTH,Unknown Amaranth,Unknown,Unknown,Forb,dependent
PEFO,Unkaster,No,,Unkaster,Unknown aster,Unknown,Unknown,Forb,dependent
BabbittPJ,UnkAster,No,,UnkAster,Unknown aster,Unknown,Unknown,Forb,dependent
Creosote,Unkastr2,No,,Unkastr2,Unknown aster 2,Unknown,Unknown,Forb,dependent
Creosote,Unkfabaceae,No,,Unkfabaceae,Unknown fabaceae,Unknown,Unknown,Forb,dependent
Creosote,Unkforb,No,,Unkforb,Unknown forb,Unknown,Unknown,Forb,dependent
Creosote,Unkforb1,No,,Unkforb1,Unknown forb1,Unknown,Unknown,Forb,dependent
Mesquite,Unkforb1,No,,Unkforb1,Unknown forb1,Unknown,Unknown,Forb,dependent
Creosote,Unkforb3,No,,Unkforb3,Unknown forb3,Unknown,Unknown,Forb,dependent
Mesquite,Unkforbgreen,No,,Unkforbgreen,Unknown forbgreen,Unknown,Unknown,Forb,dependent
Mesquite,Unkforbwavy,No,,Unkforbwavy,Unknown forbwavy,Unknown,Unknown,Forb,dependent
Mesquite,Unkfuzzyaster,No,,Unkfuzzyaster,Unknown fuzzyaster,Unknown,Unknown,Forb,dependent
Creosote,Unkgrass,No,,Unkgrass,Unknown grass,Unknown,Unknown,Grass,dependent
Mesquite,Unkgrass,No,,Unkgrass,Unknown grass,Unknown,Unknown,Grass,dependent
Creosote,Unkgrass1,No,,Unkgrass1,Unknown grass1,Unknown,Unknown,Grass,dependent
Mesquite,Unkhairygrass,No,,Unkhairygrass,Unknown hairy grass,Unknown,Unknown,Grass,dependent
Creosote,Unksalsola,No,,Unksalsola,Unknown Salsola,Unknown,Unknown,Forb,dependent
Creosote,Unksporo,No,,Unksporo,Unknown Sporobolus,Unknown,Unknown,Grass,dependent
Mesquite,Unksporo,No,,Unksporo,Unknown Sporobolus,Unknown,Unknown,Grass,dependent
BarTBar,UNSH,No,,UNSH,Unknown shrub,Unknown,Perennial,Shrub,dependent
Roosevelt,VEPE2,No,,VEPE2,Veronica peregrina,Native,Annual,Forb,independent
